Artist and Title,Streams,Daily
KÖFN - Bi' Tek Ben Anlarım,209033221,111739.0
Metro Boomin - Around Me,209027376,333492.0
Bob Sinclar - World Hold On,208794991,612009.0
SunKissed Lola - Pasilyo,207091042,248202.0
Megan Moroney - Tennessee Orange,206773614,314373.0
"Yohani - Manike (From ""Thank God"")",206607779,104586.0
Felipe Amorim - No Ouvidinho,206018891,63310.0
AP Dhillon - Summer High,205647450,125496.0
Mother Mother - Hayloft II,205035539,252574.0
Henrique & Juliano - Aquela Pessoa,204832397,311131.0
Guilherme & Benuto - Assunto Delicado,203947683,59535.0
Los Gemelos De Sinaloa - Andamos Mejor,203914972,133000.0
Duki - Si Quieren Frontear,203532840,83895.0
Tate McRae - feel like shit,203194963,127945.0
BLACKPINK - Hard to Love,202963735,155716.0
Jorge & Mateus - 5 Regras,201997201,83473.0
Henrique & Juliano - Vidinha De Balada,201959730,119186.0
DJ Khaled - STAYING ALIVE,201595870,70953.0
SEVENTEEN - HOT,200830766,193162.0
PinkPantheress - Boy's a Liar,199048173,101743.0
Maria Becerra - AUTOMÁTICO,198960103,131206.0
Sharn - Mi Amor,198761555,221107.0
Alec Benjamin - Devil Doesn’t Bargain,196516903,170294.0
Tulus - Interaksi,196053366,333322.0
Drake - Major Distribution,195748780,106846.0
Drake - Circo Loco,195651647,148472.0
Vishal-Shekhar - Jhoome Jo Pathaan,195353865,135035.0
Luciano - Bamba,195157517,147043.0
Jorge & Mateus - Todo Seu,194946347,38771.0
Ado - 新時代,194823057,156620.0
SZA - Awkward,194343652,290728.0
Anirudh Ravichander - Arabic Kuthu,192735779,118349.0
Luan Santana - ABALO EMOCIONAL,192416877,58954.0
Gusttavo Lima - Termina Comigo Antes,190891574,74812.0
Kygo - Dancing Feet,190507452,99069.0
Superstar Pride - PAINTING PICTURES,188268176,129302.0
Zé Felipe - Roça Em Mim,188238619,102042.0
ROSALÍA - SAOKO,188146457,78279.0
Stray Kids - CASE 143,187748892,158015.0
Luciano - Beautiful Girl,187596312,86103.0
Metro Boomin - Raindrops (Insane) [with Travis Scott],187530674,228712.0
Mari Fernandez - Comunicação Falhou,185741246,55316.0
Conan Gray - Family Line,185669148,163746.0
Pablito Pesadilla - BABY OTAKU,185578855,52664.0
Rei - Tu Turrito,185470096,52788.0
Ana Castela - DONA DE MIM,185291115,196517.0
Maiara & Maraisa - A Culpa É Nossa,184905782,80528.0
La Santa Grifa - Tocame,184851989,289696.0
Matheus & Kauan - Gatilho,184776355,71811.0
Kendrick Lamar - Count Me Out,184680217,233137.0
southstar - Miss You,184225245,86890.0
Ivan Cornejo - La Curiosidad,183829381,195974.0
"KK - Ajab Si (From ""Om Shanti Om"")",183742249,255789.0
Awdella - Tertawan Hati,183075364,459691.0
Tyler Hubbard - 5 Foot 9,183063659,184079.0
Ghostface Playa - Why Not,182988515,113193.0
natori - Overdose,182915877,180194.0
"Bizarrap - Paulo Londra: Bzrp Music Sessions, Vol. 23",182768482,55978.0
Jaziel Avilez - Ando Enfocado,182478753,175391.0
Fred again.. - Turn On The Lights again..,182348577,180793.0
Charlie Puth - That's Hilarious,181839122,89201.0
Nate Smith - Whiskey On You,180856886,156397.0
David Kushner - Miserable Man,180843005,151866.0
Isolate.exe - Crystals,180746766,137558.0
Daddy Yankee - RUMBATÓN,180106687,62963.0
ONIMXRU - SHADOW,179857805,154527.0
SZA - Love Language,179460304,239117.0
MC Tairon - Baile no Morro,179137750,145547.0
"Luke Combs - Going, Going, Gone",178991132,254002.0
The Weeknd - Take My Breath,178887439,131208.0
Leo Santana - Zona De Perigo,178670780,80375.0
Cian Ducrot - I'll Be Waiting,178510671,145689.0
SZA - Ghost in the Machine,178197521,230715.0
Taylor Swift - Paris,177879990,94028.0
Taylor Swift - Bigger Than The Whole Sky,177770623,111091.0
Jack Harlow - Dua Lipa,177305273,100768.0
